date;month;day;year;season;fragment;period;GPP;NPP8;biomass
Sep-30-2007;Sep;30;2007;spring;non_urban;rainy;811.756;410.370;1025.926
Oct-8-2007;Oct;8;2007;spring;non_urban;rainy;774.178;391.455;978.638
Oct-16-2007;Oct;16;2007;spring;non_urban;rainy;617.579;312.054;780.136
Oct-24-2007;Oct;24;2007;spring;non_urban;rainy;782.718;395.883;989.706
Nov-1-2007;Nov;1;2007;spring;non_urban;rainy;552.114;278.938;697.344
Nov-9-2007;Nov;9;2007;spring;non_urban;rainy;576.488;291.418;728.545
Nov-17-2007;Nov;17;2007;spring;non_urban;rainy;910.887;460.558;1151.396
Nov-25-2007;Nov;25;2007;spring;non_urban;rainy;913.487;461.882;1154.704
Dec-3-2007;Dec;3;2007;spring;non_urban;rainy;808.754;408.924;1022.311
Dec-11-2007;Dec;11;2007;spring;non_urban;rainy;923.600;467.201;1168.002
Dec-19-2007;Dec;19;2007;spring;non_urban;rainy;703.461;355.801;889.503
Dec-27-2007;Dec;27;2007;summer;non_urban;rainy;646.827;326.851;817.127
Jan-1-2008;Jan;1;2008;summer;non_urban;rainy;762.960;385.783;964.457
Jan-9-2008;Jan;9;2008;summer;non_urban;rainy;835.420;423.134;1057.835
Jan-17-2008;Jan;17;2008;summer;non_urban;rainy;702.614;355.132;887.830
Jan-25-2008;Jan;25;2008;summer;non_urban;rainy;783.904;395.992;989.979
Feb-2-2008;Feb;2;2008;summer;non_urban;rainy;628.762;317.539;793.848
Feb-10-2008;Feb;10;2008;summer;non_urban;rainy;796.346;402.863;1007.158
Feb-18-2008;Feb;18;2008;summer;non_urban;rainy;696.969;352.237;880.592
Feb-26-2008;Feb;26;2008;summer;non_urban;rainy;771.565;389.636;974.091
Mar-5-2008;Mar;5;2008;summer;non_urban;rainy;848.804;428.353;1070.884
Mar-13-2008;Mar;13;2008;summer;non_urban;rainy;634.692;319.837;799.592
Mar-21-2008;Mar;21;2008;fall;non_urban;dry;760.707;383.401;958.503
Mar-29-2008;Mar;29;2008;fall;non_urban;dry;649.973;328.629;821.574
Apr-6-2008;Apr;6;2008;fall;non_urban;dry;530.899;267.853;669.631
Apr-14-2008;Apr;14;2008;fall;non_urban;dry;530.924;267.652;669.131
Apr-22-2008;Apr;22;2008;fall;non_urban;dry;696.023;351.156;877.889
Apr-30-2008;Apr;30;2008;fall;non_urban;dry;519.635;262.228;655.570
May-8-2008;May;8;2008;fall;non_urban;dry;622.042;313.434;783.586
May-16-2008;May;16;2008;fall;non_urban;dry;590.631;297.906;744.766
May-24-2008;May;24;2008;fall;non_urban;dry;560.033;282.459;706.149
Jun-1-2008;Jun;1;2008;fall;non_urban;dry;494.575;249.468;623.669
Jun-9-2008;Jun;9;2008;fall;non_urban;dry;504.961;254.680;636.701
Jun-17-2008;Jun;17;2008;fall;non_urban;dry;489.853;247.117;617.792
Jun-25-2008;Jun;25;2008;winter;non_urban;dry;534.520;269.494;673.736
Jul-3-2008;Jul;3;2008;winter;non_urban;dry;574.435;289.699;724.248
Jul-11-2008;Jul;11;2008;winter;non_urban;dry;586.221;296.015;740.038
Jul-19-2008;Jul;19;2008;winter;non_urban;dry;608.278;307.232;768.081
Jul-27-2008;Jul;27;2008;winter;non_urban;dry;599.343;302.814;757.036
Aug-4-2008;Aug;4;2008;winter;non_urban;dry;533.150;269.233;673.083
Aug-12-2008;Aug;12;2008;winter;non_urban;dry;678.736;342.786;856.965
Aug-20-2008;Aug;20;2008;winter;non_urban;dry;720.482;363.943;909.858
Aug-28-2008;Aug;28;2008;winter;non_urban;dry;664.947;335.797;839.492
Sep-5-2008;Sep;5;2008;winter;non_urban;dry;658.088;332.415;831.038
Sep-13-2008;Sep;13;2008;winter;non_urban;dry;644.133;325.683;814.208
Sep-21-2008;Sep;21;2008;winter;non_urban;dry;654.104;331.197;827.993
Sep-29-2008;Sep;29;2008;spring;non_urban;rainy;716.440;362.408;906.021
Oct-7-2008;Oct;7;2008;spring;non_urban;rainy;725.151;367.032;917.579
Oct-15-2008;Oct;15;2008;spring;non_urban;rainy;674.695;340.790;851.976
Oct-23-2008;Oct;23;2008;spring;non_urban;rainy;828.628;419.287;1048.219
Oct-31-2008;Oct;31;2008;spring;non_urban;rainy;733.596;370.920;927.300
Nov-8-2008;Nov;8;2008;spring;non_urban;rainy;766.710;387.595;968.989
Nov-16-2008;Nov;16;2008;spring;non_urban;rainy;862.393;435.986;1089.966
Nov-24-2008;Nov;24;2008;spring;non_urban;rainy;850.622;429.860;1074.649
Dec-2-2008;Dec;2;2008;spring;non_urban;rainy;991.959;501.597;1253.993
Dec-10-2008;Dec;10;2008;spring;non_urban;rainy;654.648;330.993;827.483
Dec-18-2008;Dec;18;2008;spring;non_urban;rainy;639.939;323.583;808.959
Dec-26-2008;Dec;26;2008;summer;non_urban;rainy;601.678;304.203;760.508
Jan-1-2009;Jan;1;2009;summer;non_urban;rainy;742.545;368.501;921.253
Jan-9-2009;Jan;9;2009;summer;non_urban;rainy;838.698;416.440;1041.101
Jan-17-2009;Jan;17;2009;summer;non_urban;rainy;612.789;304.464;761.160
Jan-25-2009;Jan;25;2009;summer;non_urban;rainy;566.992;281.592;703.980
Feb-2-2009;Feb;2;2009;summer;non_urban;rainy;732.358;363.793;909.483
Feb-10-2009;Feb;10;2009;summer;non_urban;rainy;678.873;336.476;841.190
Feb-18-2009;Feb;18;2009;summer;non_urban;rainy;921.451;456.722;1141.805
Feb-26-2009;Feb;26;2009;summer;non_urban;rainy;997.821;494.825;1237.064
Mar-6-2009;Mar;6;2009;summer;non_urban;rainy;684.785;339.511;848.777
Mar-14-2009;Mar;14;2009;summer;non_urban;rainy;616.359;305.534;763.834
Mar-22-2009;Mar;22;2009;fall;non_urban;dry;608.492;301.862;754.655
Mar-30-2009;Mar;30;2009;fall;non_urban;dry;674.962;335.046;837.616
Apr-7-2009;Apr;7;2009;fall;non_urban;dry;688.184;341.666;854.165
Apr-15-2009;Apr;15;2009;fall;non_urban;dry;658.601;327.212;818.029
Apr-23-2009;Apr;23;2009;fall;non_urban;dry;699.716;346.435;866.088
May-1-2009;May;1;2009;fall;non_urban;dry;635.424;314.881;787.202
May-9-2009;May;9;2009;fall;non_urban;dry;614.329;304.321;760.803
May-17-2009;May;17;2009;fall;non_urban;dry;629.815;312.030;780.075
May-25-2009;May;25;2009;fall;non_urban;dry;491.180;243.273;608.181
Jun-2-2009;Jun;2;2009;fall;non_urban;dry;559.611;277.028;692.569
Jun-10-2009;Jun;10;2009;fall;non_urban;dry;513.133;254.043;635.106
Jun-18-2009;Jun;18;2009;fall;non_urban;dry;570.516;282.337;705.841
Jun-26-2009;Jun;26;2009;winter;non_urban;dry;511.782;253.316;633.291
Jul-4-2009;Jul;4;2009;winter;non_urban;dry;541.492;268.098;670.245
Jul-12-2009;Jul;12;2009;winter;non_urban;dry;537.838;266.235;665.588
Jul-20-2009;Jul;20;2009;winter;non_urban;dry;466.959;231.397;578.493
Jul-28-2009;Jul;28;2009;winter;non_urban;dry;474.588;235.131;587.827
Aug-5-2009;Aug;5;2009;winter;non_urban;dry;632.603;313.290;783.224
Aug-13-2009;Aug;13;2009;winter;non_urban;dry;643.296;318.448;796.120
Aug-21-2009;Aug;21;2009;winter;non_urban;dry;495.961;245.973;614.931
Aug-29-2009;Aug;29;2009;winter;non_urban;dry;733.539;363.356;908.390
Sep-6-2009;Sep;6;2009;winter;non_urban;dry;672.615;333.349;833.372
Sep-14-2009;Sep;14;2009;winter;non_urban;dry;688.638;341.909;854.772
Sep-22-2009;Sep;22;2009;winter;non_urban;dry;654.607;325.287;813.219
Sep-30-2009;Sep;30;2009;spring;non_urban;rainy;681.789;338.690;846.726
Oct-8-2009;Oct;8;2009;spring;non_urban;rainy;594.104;295.350;738.376
Oct-16-2009;Oct;16;2009;spring;non_urban;rainy;715.149;354.847;887.118
Oct-24-2009;Oct;24;2009;spring;non_urban;rainy;815.816;404.514;1011.285
Nov-1-2009;Nov;1;2009;spring;non_urban;rainy;872.051;432.440;1081.100
Nov-9-2009;Nov;9;2009;spring;non_urban;rainy;762.072;377.867;944.668
Nov-17-2009;Nov;17;2009;spring;non_urban;rainy;886.144;439.307;1098.268
Nov-25-2009;Nov;25;2009;spring;non_urban;rainy;766.078;380.120;950.299
Dec-3-2009;Dec;3;2009;spring;non_urban;rainy;569.274;282.256;705.639
Dec-11-2009;Dec;11;2009;spring;non_urban;rainy;683.517;338.949;847.374
Dec-19-2009;Dec;19;2009;spring;non_urban;rainy;1000.437;496.090;1240.224
Dec-27-2009;Dec;27;2009;summer;non_urban;rainy;339.022;168.170;420.426
Jan-1-2010;Jan;1;2010;summer;non_urban;rainy;752.079;372.296;930.741
Jan-9-2010;Jan;9;2010;summer;non_urban;rainy;717.708;355.302;888.256
Jan-17-2010;Jan;17;2010;summer;non_urban;rainy;614.422;304.244;760.610
Jan-25-2010;Jan;25;2010;summer;non_urban;rainy;730.981;362.370;905.925
Feb-2-2010;Feb;2;2010;summer;non_urban;rainy;837.238;414.303;1035.758
Feb-10-2010;Feb;10;2010;summer;non_urban;rainy;837.460;414.616;1036.540
Feb-18-2010;Feb;18;2010;summer;non_urban;rainy;702.572;347.877;869.691
Feb-26-2010;Feb;26;2010;summer;non_urban;rainy;632.486;313.277;783.194
Mar-6-2010;Mar;6;2010;summer;non_urban;rainy;800.261;396.284;990.710
Mar-14-2010;Mar;14;2010;summer;non_urban;rainy;606.511;301.079;752.699
Mar-22-2010;Mar;22;2010;fall;non_urban;dry;765.102;378.776;946.940
Mar-30-2010;Mar;30;2010;fall;non_urban;dry;593.292;293.747;734.367
Apr-7-2010;Apr;7;2010;fall;non_urban;dry;663.027;328.026;820.064
Apr-15-2010;Apr;15;2010;fall;non_urban;dry;760.818;376.476;941.191
Apr-23-2010;Apr;23;2010;fall;non_urban;dry;588.327;291.114;727.785
May-1-2010;May;1;2010;fall;non_urban;dry;675.443;334.298;835.744
May-9-2010;May;9;2010;fall;non_urban;dry;553.241;273.836;684.590
May-17-2010;May;17;2010;fall;non_urban;dry;521.969;258.708;646.770
May-25-2010;May;25;2010;fall;non_urban;dry;513.293;254.159;635.397
Jun-2-2010;Jun;2;2010;fall;non_urban;dry;533.531;264.081;660.202
Jun-10-2010;Jun;10;2010;fall;non_urban;dry;544.787;269.695;674.237
Jun-18-2010;Jun;18;2010;fall;non_urban;dry;526.420;260.538;651.345
Jun-26-2010;Jun;26;2010;winter;non_urban;dry;614.800;304.356;760.890
Jul-4-2010;Jul;4;2010;winter;non_urban;dry;556.217;275.260;688.150
Jul-12-2010;Jul;12;2010;winter;non_urban;dry;449.378;222.446;556.114
Jul-20-2010;Jul;20;2010;winter;non_urban;dry;635.054;314.291;785.729
Jul-28-2010;Jul;28;2010;winter;non_urban;dry;597.982;295.998;739.996
Aug-5-2010;Aug;5;2010;winter;non_urban;dry;584.483;289.249;723.122
Aug-13-2010;Aug;13;2010;winter;non_urban;dry;587.508;290.949;727.372
Aug-21-2010;Aug;21;2010;winter;non_urban;dry;670.623;331.912;829.780
Aug-29-2010;Aug;29;2010;winter;non_urban;dry;708.274;350.689;876.723
Sep-6-2010;Sep;6;2010;winter;non_urban;dry;693.020;343.071;857.677
Sep-14-2010;Sep;14;2010;winter;non_urban;dry;647.809;320.698;801.746
Sep-22-2010;Sep;22;2010;winter;non_urban;dry;577.872;286.360;715.899
Sep-30-2010;Sep;30;2010;spring;non_urban;rainy;667.155;330.368;825.920
Oct-8-2010;Oct;8;2010;spring;non_urban;rainy;794.481;393.422;983.556
Oct-16-2010;Oct;16;2010;spring;non_urban;rainy;792.116;392.431;981.078
Oct-24-2010;Oct;24;2010;spring;non_urban;rainy;887.575;439.682;1099.204
Nov-1-2010;Nov;1;2010;spring;non_urban;rainy;787.346;390.156;975.389
Nov-9-2010;Nov;9;2010;spring;non_urban;rainy;634.022;314.084;785.211
Nov-17-2010;Nov;17;2010;spring;non_urban;rainy;831.773;411.894;1029.736
Nov-25-2010;Nov;25;2010;spring;non_urban;rainy;785.855;389.127;972.817
Dec-3-2010;Dec;3;2010;spring;non_urban;rainy;903.720;447.286;1118.214
Dec-11-2010;Dec;11;2010;spring;non_urban;rainy;821.442;406.284;1015.710
Dec-19-2010;Dec;19;2010;spring;non_urban;rainy;745.168;369.168;922.921
Dec-27-2010;Dec;27;2010;summer;non_urban;rainy;513.306;254.339;635.848
Jan-1-2011;Jan;1;2011;summer;non_urban;rainy;513.231;264.243;660.607
Jan-9-2011;Jan;9;2011;summer;non_urban;rainy;682.587;351.685;879.211
Jan-17-2011;Jan;17;2011;summer;non_urban;rainy;848.051;436.469;1091.172
Jan-25-2011;Jan;25;2011;summer;non_urban;rainy;979.055;503.820;1259.550
Feb-2-2011;Feb;2;2011;summer;non_urban;rainy;891.093;458.983;1147.458
Feb-10-2011;Feb;10;2011;summer;non_urban;rainy;810.010;416.777;1041.943
Feb-18-2011;Feb;18;2011;summer;non_urban;rainy;834.545;430.180;1075.449
Feb-26-2011;Feb;26;2011;summer;non_urban;rainy;590.150;304.234;760.584
Mar-6-2011;Mar;6;2011;summer;non_urban;rainy;520.620;268.146;670.366
Mar-14-2011;Mar;14;2011;summer;non_urban;rainy;810.716;418.131;1045.328
Mar-22-2011;Mar;22;2011;fall;non_urban;dry;701.092;360.997;902.492
Mar-30-2011;Mar;30;2011;fall;non_urban;dry;652.294;335.395;838.487
Apr-7-2011;Apr;7;2011;fall;non_urban;dry;630.555;324.700;811.751
Apr-15-2011;Apr;15;2011;fall;non_urban;dry;772.032;396.926;992.314
