system:time_start;0;;biomass
Nov;25;2005;1028.570
Dec;3;2005;1261.706
Dec;11;2005;1065.758
Dec;19;2005;997.299
Dec;27;2005;827.696
Jan;1;2006;727.034
Jan;9;2006;1467.268
Jan;17;2006;1304.549
Jan;25;2006;783.359
Feb;2;2006;1046.360
Feb;10;2006;823.185
Feb;18;2006;982.669
Feb;26;2006;1069.304
Mar;6;2006;968.827
Mar;14;2006;1069.860
Mar;22;2006;914.021
Mar;30;2006;973.037
Apr;7;2006;1025.611
Apr;15;2006;824.275
Apr;23;2006;909.044
May;1;2006;761.331
May;9;2006;716.394
May;17;2006;688.063
May;25;2006;743.353
Jun;2;2006;703.240
Jun;10;2006;712.063
Jun;18;2006;734.132
Jun;26;2006;613.404
Jul;4;2006;729.083
Jul;12;2006;785.010
Jul;20;2006;683.834
Jul;28;2006;551.660
Aug;5;2006;759.003
Aug;13;2006;728.385
Aug;21;2006;815.426
Aug;29;2006;702.134
Sep;6;2006;839.287
Sep;14;2006;768.039
Sep;22;2006;981.111
Sep;30;2006;630.142
Oct;8;2006;863.244
Oct;16;2006;1070.869
Oct;24;2006;1317.354
Nov;1;2006;1108.552
Nov;9;2006;1099.933
Nov;17;2006;1226.600
Nov;25;2006;993.838
Dec;3;2006;1119.613
Dec;11;2006;1218.179
Dec;19;2006;1062.325
Dec;27;2006;518.170
Jan;1;2007;968.886
Jan;9;2007;992.226
Jan;17;2007;923.796
Jan;25;2007;934.493
Feb;2;2007;1124.990
Feb;10;2007;1161.950
Feb;18;2007;1289.919
Feb;26;2007;1296.141
Mar;6;2007;1169.318
Mar;14;2007;882.532
Mar;22;2007;1015.408
Mar;30;2007;1107.467
Apr;7;2007;841.215
Apr;15;2007;811.020
Apr;23;2007;698.723
May;1;2007;899.855
May;9;2007;720.307
May;17;2007;580.562
May;25;2007;731.738
Jun;2;2007;728.403
Jun;10;2007;709.962
Jun;18;2007;687.895
Jun;26;2007;633.522
Jul;4;2007;691.710
Jul;12;2007;594.699
Jul;20;2007;655.210
Jul;28;2007;686.906
Aug;5;2007;773.383
Aug;13;2007;872.625
Aug;21;2007;784.517
Aug;29;2007;879.273
Sep;6;2007;1078.660
Sep;14;2007;947.267
Sep;22;2007;888.197
Sep;30;2007;1135.633
Oct;8;2007;1015.812
Oct;16;2007;823.683
Oct;24;2007;1096.145
Nov;1;2007;805.957
Nov;9;2007;763.007
Nov;17;2007;1326.215
Nov;25;2007;1293.088
Dec;3;2007;1177.507
Dec;11;2007;1292.002
Dec;19;2007;809.621
Dec;27;2007;871.154
Jan;1;2008;1060.690
Jan;9;2008;1275.557
Jan;17;2008;972.055
Jan;25;2008;1091.129
Feb;2;2008;856.049
Feb;10;2008;1057.973
Feb;18;2008;1030.364
Feb;26;2008;1173.034
Mar;5;2008;1055.085
Mar;13;2008;852.944
Mar;21;2008;989.907
Mar;29;2008;948.509
Apr;6;2008;750.847
Apr;14;2008;662.766
Apr;22;2008;952.830
Apr;30;2008;704.571
May;8;2008;778.836
May;16;2008;740.049
May;24;2008;722.091
Jun;1;2008;630.250
Jun;9;2008;636.830
Jun;17;2008;591.445
Jun;25;2008;676.875
Jul;3;2008;724.004
Jul;11;2008;788.687
Jul;19;2008;804.073
Jul;27;2008;805.978
Aug;4;2008;673.038
Aug;12;2008;855.711
Aug;20;2008;960.203
Aug;28;2008;868.932
Sep;5;2008;886.924
Sep;13;2008;830.225
Sep;21;2008;883.966
Sep;29;2008;928.222
Oct;7;2008;1057.117
Oct;15;2008;912.893
Oct;23;2008;1144.707
Oct;31;2008;1022.296
Nov;8;2008;1002.555
Nov;16;2008;1139.310
Nov;24;2008;1123.768
Dec;2;2008;1406.240
Dec;10;2008;880.725
Dec;18;2008;875.992
Dec;26;2008;892.214
Jan;1;2009;1054.913
Jan;9;2009;1151.288
Jan;17;2009;953.974
Jan;25;2009;741.389
Feb;2;2009;989.509
Feb;10;2009;821.230
Feb;18;2009;1207.339
Feb;26;2009;1311.700
Mar;6;2009;889.107
Mar;14;2009;786.778
Mar;22;2009;797.966
Mar;30;2009;842.199
Apr;7;2009;871.787
Apr;15;2009;909.077
Apr;23;2009;902.744
May;1;2009;806.060
May;9;2009;764.663
May;17;2009;811.113
May;25;2009;615.947
Jun;2;2009;715.027
Jun;10;2009;611.402
Jun;18;2009;723.691
Jun;26;2009;640.367
Jul;4;2009;703.367
Jul;12;2009;693.233
Jul;20;2009;565.316
Jul;28;2009;617.678
Aug;5;2009;815.546
Aug;13;2009;825.461
Aug;21;2009;668.506
Aug;29;2009;966.497
Sep;6;2009;826.012
Sep;14;2009;911.315
Sep;22;2009;927.813
Sep;30;2009;905.177
Oct;8;2009;681.800
Oct;16;2009;913.946
Oct;24;2009;1085.497
Nov;1;2009;1147.181
Nov;9;2009;999.066
Nov;17;2009;1185.644
Nov;25;2009;1043.307
Dec;3;2009;804.738
Dec;11;2009;900.495
Dec;19;2009;1399.492
Dec;27;2009;466.209
Jan;1;2010;953.638
Jan;9;2010;804.837
Jan;17;2010;732.004
Jan;25;2010;926.983
Feb;2;2010;1175.842
Feb;10;2010;1128.357
Feb;18;2010;982.387
Feb;26;2010;849.808
Mar;6;2010;1090.358
Mar;14;2010;856.164
Mar;22;2010;997.081
Mar;30;2010;810.774
Apr;7;2010;919.460
Apr;15;2010;996.558
Apr;23;2010;770.807
May;1;2010;891.857
May;9;2010;708.308
May;17;2010;669.064
May;25;2010;619.014
Jun;2;2010;643.160
Jun;10;2010;645.664
Jun;18;2010;657.194
Jun;26;2010;734.624
Jul;4;2010;609.113
Jul;12;2010;544.132
Jul;20;2010;768.706
Jul;28;2010;733.620
Aug;5;2010;720.662
Aug;13;2010;774.501
Aug;21;2010;857.787
Aug;29;2010;890.209
Sep;6;2010;883.661
Sep;14;2010;841.576
Sep;22;2010;734.089
Sep;30;2010;816.992
Oct;8;2010;1075.135
Oct;16;2010;1060.461
Oct;24;2010;1192.996
Nov;1;2010;1046.518
Nov;9;2010;870.833
Nov;17;2010;1141.639
Nov;25;2010;993.043
Dec;3;2010;1142.380
Dec;11;2010;1107.295
Dec;19;2010;1083.152
Dec;27;2010;734.419
Jan;1;2011;713.140
Jan;9;2011;930.043
Jan;17;2011;1096.901
Jan;25;2011;1348.849
Feb;2;2011;1247.713
Feb;10;2011;1038.513
Feb;18;2011;1224.762
Feb;26;2011;873.803
Mar;6;2011;853.570
Mar;14;2011;1202.397
Mar;22;2011;957.872
Mar;30;2011;773.470
Apr;7;2011;887.403
Apr;15;2011;1009.642
Apr;23;2011;748.319
May;1;2011;867.622
May;9;2011;758.033
May;17;2011;777.890
May;25;2011;729.180
Jun;2;2011;709.892
Jun;10;2011;710.496
Jun;18;2011;723.688
Jun;26;2011;694.453
Jul;4;2011;586.932
Jul;12;2011;785.447
Jul;20;2011;717.095
Jul;28;2011;657.196
Aug;5;2011;807.337
Aug;13;2011;774.913
Aug;21;2011;734.726
Aug;29;2011;878.662
Sep;6;2011;949.365
Sep;14;2011;1069.942
Sep;22;2011;1064.177
Sep;30;2011;1061.812
Oct;8;2011;953.419
Oct;15;2011;960.938
Oct;24;2011;1173.551
Nov;1;2011;1373.428
Nov;9;2011;1156.831
Nov;17;2011;1156.504
Nov;25;2011;873.619
Dec;3;2011;969.655
Dec;11;2011;1103.845
Dec;19;2011;1291.170
Dec;27;2011;837.961
Jan;1;2012;998.837
Jan;9;2012;959.199
Jan;17;2012;1073.330
Jan;25;2012;1104.669
Feb;2;2012;1480.106
Feb;10;2012;1173.695
Feb;18;2012;1106.997
Feb;26;2012;1216.273
Mar;5;2012;1229.585
Mar;13;2012;1105.385
Mar;21;2012;977.204
Mar;29;2012;924.868
Apr;6;2012;912.660
Apr;14;2012;948.780
Apr;22;2012;754.230
Apr;30;2012;787.504
May;8;2012;601.674
May;16;2012;767.059
May;24;2012;747.892
Jun;1;2012;547.410
Jun;9;2012;660.730
Jun;17;2012;564.172
Jun;25;2012;705.473
Jul;3;2012;660.702
Jul;11;2012;529.790
Jul;19;2012;809.054
Jul;27;2012;785.317
Aug;4;2012;877.239
Aug;12;2012;917.857
Aug;20;2012;1026.743
Aug;28;2012;1014.735
Sep;5;2012;984.947
Sep;13;2012;836.464
Sep;21;2012;866.527
Sep;29;2012;1155.906
Oct;7;2012;1110.614
Oct;15;2012;1042.277
Oct;23;2012;934.877
Oct;31;2012;1090.886
Nov;8;2012;899.271
Nov;16;2012;1320.989
Nov;24;2012;1171.868
Dec;2;2012;1262.709
Dec;10;2012;975.603
Dec;18;2012;1206.385
Dec;26;2012;748.779
Jan;1;2013;848.448
Jan;9;2013;664.699
Jan;17;2013;1206.939
Jan;25;2013;971.716
Feb;2;2013;807.088
Feb;10;2013;786.746
Feb;18;2013;1240.059
Feb;26;2013;936.413
Mar;6;2013;902.307
Mar;14;2013;761.618
Mar;22;2013;840.042
Mar;30;2013;909.238
Apr;7;2013;796.528
Apr;15;2013;985.681
Apr;23;2013;925.270
May;1;2013;855.909
May;9;2013;840.578
May;17;2013;633.327
May;25;2013;560.851
Jun;2;2013;693.796
Jun;10;2013;674.457
Jun;18;2013;657.621
Jun;26;2013;611.390
Jul;4;2013;723.755
Jul;12;2013;741.770
Jul;20;2013;518.637
Jul;28;2013;752.995
Aug;5;2013;749.592
Aug;13;2013;771.347
Aug;21;2013;889.890
Aug;29;2013;875.983
Sep;6;2013;1121.845
Sep;14;2013;857.578
Sep;22;2013;996.829
Sep;30;2013;882.908
Oct;8;2013;1081.048
Oct;16;2013;1016.089
Oct;24;2013;1046.761
Nov;1;2013;931.115
Nov;9;2013;1258.681
Nov;17;2013;961.278
Nov;25;2013;933.274
Dec;3;2013;1289.562
Dec;11;2013;1223.785
Dec;19;2013;1191.578
Dec;27;2013;634.496
Jan;1;2014;1331.071
Jan;9;2014;1262.699
Jan;17;2014;1235.093
Jan;25;2014;1207.589
Feb;2;2014;1118.069
Feb;10;2014;915.366
Feb;18;2014;1166.323
Feb;26;2014;1014.059
Mar;6;2014;940.952
Mar;14;2014;973.752
Mar;22;2014;1044.079
Mar;30;2014;973.412
Apr;7;2014;874.616
Apr;15;2014;753.115
Apr;23;2014;793.603
May;1;2014;849.045
May;9;2014;811.796
May;17;2014;613.640
May;25;2014;617.887
Jun;2;2014;665.558
Jun;10;2014;694.435
Jun;18;2014;633.589
Jun;26;2014;709.137
Jul;4;2014;651.856
Jul;12;2014;742.662
Jul;20;2014;620.410
Jul;28;2014;773.917
Aug;5;2014;790.117
Aug;13;2014;748.650
Aug;21;2014;797.550
Aug;29;2014;891.486
Sep;6;2014;1031.693
Sep;14;2014;867.868
Sep;22;2014;947.653
Sep;30;2014;1044.613
Oct;8;2014;1110.703
Oct;16;2014;1105.965
Oct;24;2014;1080.651
Nov;1;2014;1005.908
Nov;9;2014;1087.189
Nov;17;2014;1265.963
Nov;25;2014;1040.304
Dec;3;2014;1255.209
Dec;11;2014;1191.093
Dec;19;2014;1001.255
Dec;27;2014;658.354
Jan;1;2015;970.457
Jan;9;2015;974.446
Jan;17;2015;873.844
Jan;25;2015;721.659
Feb;2;2015;728.907
Feb;10;2015;816.193
Feb;18;2015;1025.231
Feb;26;2015;1124.176
Mar;6;2015;616.583
Mar;14;2015;745.921
Mar;22;2015;908.336
Mar;30;2015;931.371
Apr;7;2015;995.348
Apr;15;2015;772.281
Apr;23;2015;860.203
May;1;2015;758.321
May;9;2015;710.190
May;17;2015;651.630
May;25;2015;594.436
Jun;2;2015;697.590
Jun;10;2015;586.503
Jun;18;2015;522.237
Jun;26;2015;648.975
Jul;4;2015;506.107
Jul;12;2015;604.795
Jul;20;2015;562.575
Jul;28;2015;767.543
Aug;5;2015;833.351
Aug;13;2015;823.731
Aug;21;2015;723.885
Aug;29;2015;799.393
Sep;6;2015;607.073
Sep;14;2015;913.378
Sep;22;2015;812.694
Sep;30;2015;906.470
Oct;8;2015;979.541
Oct;16;2015;935.397
Oct;24;2015;976.182
Nov;1;2015;868.398
Nov;9;2015;1068.392
Nov;17;2015;951.078
Nov;25;2015;1081.448
Dec;3;2015;991.117
Dec;11;2015;1125.301
Dec;19;2015;1201.033
Dec;27;2015;546.120
Jan;1;2016;1151.410
Jan;9;2016;776.565
Jan;17;2016;1049.417
Jan;25;2016;1185.100
Feb;2;2016;1235.411
Feb;10;2016;1115.499
Feb;18;2016;773.959
Feb;26;2016;716.360
Mar;5;2016;936.046
Mar;13;2016;1050.596
Mar;21;2016;863.745
Mar;29;2016;882.793
Apr;6;2016;1107.191
Apr;14;2016;975.680
Apr;22;2016;702.164
Apr;30;2016;846.597
May;8;2016;612.958
May;16;2016;523.937
May;24;2016;611.963
Jun;1;2016;432.896
Jun;9;2016;674.388
Jun;17;2016;626.655
Jun;25;2016;661.494
Jul;3;2016;739.880
Jul;11;2016;676.055
Jul;19;2016;672.255
Jul;27;2016;710.187
Aug;4;2016;643.164
Aug;12;2016;792.189
Aug;20;2016;837.312
Aug;28;2016;822.272
Sep;5;2016;890.235
Sep;13;2016;770.872
Sep;21;2016;1031.318
Sep;29;2016;640.355
Oct;7;2016;944.170
Oct;15;2016;1030.034
Oct;23;2016;973.938
Oct;31;2016;976.522
Nov;8;2016;1029.140
Nov;16;2016;1159.850
Nov;24;2016;1196.579
Dec;2;2016;1222.843
Dec;10;2016;942.177
Dec;18;2016;1098.428
Dec;26;2016;964.707
Jan;1;2017;878.464
Jan;9;2017;1044.334
Jan;17;2017;1024.260
Jan;25;2017;914.093
Feb;2;2017;922.930
Feb;10;2017;1348.596
Feb;18;2017;1069.480
Feb;26;2017;780.747
Mar;6;2017;1002.315
Mar;14;2017;895.089
Mar;22;2017;1158.096
Mar;30;2017;1058.234
Apr;7;2017;827.198
Apr;15;2017;874.325
Apr;23;2017;694.965
May;1;2017;722.909
May;9;2017;733.185
May;17;2017;499.735
May;25;2017;746.065
Jun;2;2017;724.017
Jun;10;2017;670.207
Jun;18;2017;685.395
Jun;26;2017;696.472
Jul;4;2017;705.088
Jul;12;2017;719.988
Jul;20;2017;790.805
Jul;28;2017;809.276
Aug;5;2017;778.100
Aug;13;2017;592.034
Aug;21;2017;851.015
Aug;29;2017;983.258
Sep;6;2017;1052.015
Sep;14;2017;1049.479
Sep;22;2017;999.139
Sep;30;2017;875.149
Oct;8;2017;1029.563
Oct;16;2017;978.878
Oct;24;2017;885.768
Nov;1;2017;978.972
Nov;9;2017;1137.203
Nov;17;2017;1012.358
Nov;25;2017;1024.547
Dec;3;2017;1215.777
Dec;11;2017;1399.244
Dec;19;2017;1028.914
Dec;27;2017;368.162
Jan;1;2018;746.596
Jan;9;2018;822.504
Jan;17;2018;996.941
Jan;25;2018;1054.806
Feb;2;2018;975.642
Feb;10;2018;879.985
Feb;18;2018;884.390
Feb;26;2018;1038.007
Mar;6;2018;1067.900
Mar;14;2018;1012.157
Mar;22;2018;1167.874
Mar;30;2018;875.115
Apr;7;2018;1033.932
Apr;15;2018;899.683
Apr;23;2018;917.669
May;1;2018;887.886
May;9;2018;766.181
May;17;2018;739.239
May;25;2018;715.993
Jun;2;2018;453.932
Jun;10;2018;475.272
Jun;18;2018;639.650
Jun;26;2018;708.730
Jul;4;2018;661.568
Jul;12;2018;750.637
Jul;20;2018;759.049
Jul;28;2018;623.703
Aug;5;2018;695.397
Aug;13;2018;825.382
Aug;21;2018;770.080
Aug;29;2018;914.319
Sep;6;2018;973.687
Sep;14;2018;573.758
Sep;22;2018;1068.851
Sep;30;2018;769.827
Oct;8;2018;849.184
Oct;16;2018;1024.065
Oct;24;2018;1129.019
Nov;1;2018;873.377
Nov;9;2018;1116.087
Nov;17;2018;938.580
Nov;25;2018;1084.782
Dec;3;2018;1411.218
Dec;11;2018;1453.058
Dec;19;2018;1038.749
Dec;27;2018;837.427
Jan;1;2019;1016.557
Jan;9;2019;1299.910
Jan;17;2019;983.843
Jan;25;2019;1034.247
Feb;2;2019;939.435
Feb;10;2019;851.624
Feb;18;2019;859.229
Feb;26;2019;752.898
Mar;6;2019;894.598
Mar;14;2019;765.678
Mar;22;2019;1050.511
Mar;30;2019;949.119
Apr;7;2019;784.766
Apr;15;2019;926.544
Apr;23;2019;832.004
May;1;2019;757.618
May;9;2019;684.517
May;17;2019;641.630
May;25;2019;734.425
Jun;2;2019;629.774
Jun;10;2019;717.032
Jun;18;2019;691.381
Jun;26;2019;659.931
Jul;4;2019;585.091
Jul;12;2019;673.380
Jul;20;2019;766.445
Jul;28;2019;628.179
Aug;5;2019;782.660
Aug;13;2019;659.469
Aug;21;2019;747.116
Aug;29;2019;761.130
Sep;6;2019;854.160
Sep;14;2019;787.310
Sep;22;2019;849.663
Sep;30;2019;1152.172
Oct;8;2019;940.948
Oct;16;2019;1039.172
Oct;24;2019;986.123
Nov;1;2019;931.481
Nov;9;2019;835.749
Nov;17;2019;1016.996
Nov;25;2019;1067.898
Dec;3;2019;1065.734
Dec;11;2019;1070.478
Dec;19;2019;1009.669
Dec;27;2019;911.195
Jan;1;2020;1091.695
Jan;9;2020;1041.894
Jan;17;2020;949.195
Jan;25;2020;1170.455
Feb;2;2020;790.551
Feb;10;2020;854.130
Feb;18;2020;1137.469
Feb;26;2020;759.919
Mar;5;2020;1239.354
Mar;13;2020;1089.342
Mar;21;2020;1080.250
Mar;29;2020;926.467
Apr;6;2020;957.144
Apr;14;2020;834.229
Apr;22;2020;977.656
Apr;30;2020;799.332
May;8;2020;735.855
May;16;2020;723.299
May;24;2020;721.273
Jun;1;2020;622.056
Jun;9;2020;596.652
Jun;17;2020;732.590
Jun;25;2020;591.989
Jul;3;2020;669.135
Jul;11;2020;679.311
Jul;19;2020;803.309
Jul;27;2020;713.381
Aug;4;2020;891.182
Aug;12;2020;737.144
Aug;20;2020;734.051
Aug;28;2020;938.614
Sep;5;2020;935.173
Sep;13;2020;825.086
Sep;21;2020;856.247
Sep;29;2020;1031.794
Oct;7;2020;1056.542
Oct;15;2020;1160.350
Oct;23;2020;1102.496
Oct;31;2020;1054.626
Nov;8;2020;933.758
Nov;16;2020;1138.806
Nov;24;2020;1395.254
Dec;2;2020;971.141
Dec;10;2020;739.442
Dec;18;2020;1087.707
Dec;26;2020;499.864
Jan;1;2021;912.964
Jan;9;2021;1088.573
Jan;17;2021;1493.515
Jan;25;2021;1192.446
Feb;2;2021;1068.241
Feb;10;2021;1016.191
Feb;18;2021;1203.646
Feb;26;2021;890.372
Mar;6;2021;993.888
Mar;14;2021;1078.635
Mar;22;2021;1157.793
Mar;30;2021;1126.548
Apr;7;2021;1098.150
Apr;15;2021;954.751
Apr;23;2021;861.204
May;1;2021;870.667
May;9;2021;744.710
May;17;2021;763.741
May;25;2021;625.151
Jun;2;2021;743.160
Jun;10;2021;684.411
Jun;18;2021;641.387
Jun;26;2021;755.244
Jul;4;2021;755.899
Jul;12;2021;728.009
Jul;20;2021;785.755
Jul;28;2021;654.268
Aug;5;2021;828.444
Aug;13;2021;818.785
Aug;21;2021;760.122
Aug;29;2021;966.303
Sep;6;2021;834.534
Sep;14;2021;893.301
Sep;22;2021;1049.490
Sep;30;2021;1031.115
Oct;8;2021;1013.598
Oct;16;2021;976.787
Oct;24;2021;715.241
Nov;1;2021;1147.718
Nov;9;2021;1049.233
Nov;17;2021;1328.084
Nov;25;2021;1230.530
Dec;3;2021;1238.027
Dec;11;2021;898.429
Dec;19;2021;1467.792
Dec;27;2021;671.247
Jan;1;2022;715.053
Jan;9;2022;961.502
Jan;17;2022;1470.510
Jan;25;2022;919.262
Feb;2;2022;833.952
Feb;10;2022;1071.354
Feb;18;2022;1014.474
Feb;26;2022;1282.881
Mar;6;2022;1151.799
Mar;14;2022;1002.878
Mar;22;2022;1028.689
Mar;30;2022;979.931
Apr;7;2022;1014.797
Apr;15;2022;1039.586
Apr;23;2022;944.071
May;1;2022;829.747
May;9;2022;738.675
May;17;2022;806.019
May;25;2022;729.528
Jun;2;2022;612.184
Jun;10;2022;615.912
Jun;18;2022;723.373
Jun;26;2022;703.628
Jul;4;2022;751.678
Jul;12;2022;658.274
Jul;20;2022;834.126
Jul;28;2022;754.776
Aug;5;2022;641.370
Aug;13;2022;778.042
Aug;21;2022;863.760
Aug;29;2022;843.126
Sep;6;2022;818.288
Sep;14;2022;904.935
Sep;22;2022;870.260
Sep;30;2022;878.377
Oct;8;2022;1060.724
Oct;16;2022;1025.597
Oct;24;2022;1096.873
Nov;1;2022;968.750
Nov;9;2022;1070.459
Nov;17;2022;1200.277
Nov;25;2022;1049.288
Dec;3;2022;1043.181
Dec;11;2022;1173.492
Dec;19;2022;1144.164
Dec;27;2022;567.108
Jan;1;2023;898.073
Jan;9;2023;1062.118
Jan;17;2023;1109.917
Jan;25;2023;910.871
Feb;2;2023;966.988
Feb;10;2023;827.446
Feb;18;2023;997.287
Feb;26;2023;987.753
Mar;6;2023;788.180
Mar;14;2023;1243.511
Mar;22;2023;1077.924
Mar;30;2023;1041.701
Apr;7;2023;922.851
Apr;15;2023;929.074
Apr;23;2023;887.193
May;1;2023;904.037
May;9;2023;733.893
May;17;2023;746.967
May;25;2023;686.843
Jun;2;2023;803.841
Jun;10;2023;626.641
Jun;18;2023;705.332
Jun;26;2023;715.960
Jul;4;2023;685.655
Jul;12;2023;642.331
Jul;20;2023;740.315
Jul;28;2023;797.037
Aug;5;2023;805.266
Aug;13;2023;752.287
Aug;21;2023;567.862
Aug;29;2023;816.544
Sep;6;2023;977.910
Sep;14;2023;1024.066
Sep;22;2023;951.948
Sep;30;2023;930.840
Oct;8;2023;963.105
Oct;16;2023;1117.839
Oct;24;2023;911.969
Nov;1;2023;1180.834
Nov;9;2023;974.078
Nov;17;2023;802.401
Nov;25;2023;1091.885
Dec;3;2023;
Dec;11;2023;1291.020
Dec;19;2023;1291.438
Dec;27;2023;666.860
