date;month;day;year;biomass
Mar-22-2007;Mar;22;2007;955.413
Mar-30-2007;Mar;30;2007;969.009
Apr-7-2007;Apr;7;2007;882.576
Apr-15-2007;Apr;15;2007;715.404
Apr-23-2007;Apr;23;2007;651.341
May-1-2007;May;1;2007;830.339
May-9-2007;May;9;2007;691.506
May-17-2007;May;17;2007;544.977
May-25-2007;May;25;2007;690.919
Jun-2-2007;Jun;2;2007;706.218
Jun-10-2007;Jun;10;2007;671.749
Jun-18-2007;Jun;18;2007;670.151
Jun-26-2007;Jun;26;2007;648.025
Jul-4-2007;Jul;4;2007;685.044
Jul-12-2007;Jul;12;2007;558.659
Jul-20-2007;Jul;20;2007;642.598
Jul-28-2007;Jul;28;2007;712.847
Aug-5-2007;Aug;5;2007;771.891
Aug-13-2007;Aug;13;2007;829.443
Aug-21-2007;Aug;21;2007;764.246
Aug-29-2007;Aug;29;2007;860.449
Sep-6-2007;Sep;6;2007;1018.093
Sep-14-2007;Sep;14;2007;916.991
Sep-22-2007;Sep;22;2007;822.900
Sep-30-2007;Sep;30;2007;1025.926
Oct-8-2007;Oct;8;2007;978.638
Oct-16-2007;Oct;16;2007;780.136
Oct-24-2007;Oct;24;2007;989.706
Nov-1-2007;Nov;1;2007;697.344
Nov-9-2007;Nov;9;2007;728.545
Nov-17-2007;Nov;17;2007;1151.396
Nov-25-2007;Nov;25;2007;1154.704
Dec-3-2007;Dec;3;2007;1022.311
Dec-11-2007;Dec;11;2007;1168.002
Dec-19-2007;Dec;19;2007;889.503
Dec-27-2007;Dec;27;2007;817.127
Jan-1-2008;Jan;1;2008;964.457
Jan-9-2008;Jan;9;2008;1057.835
Jan-17-2008;Jan;17;2008;887.830
Jan-25-2008;Jan;25;2008;989.979
Feb-2-2008;Feb;2;2008;793.848
Feb-10-2008;Feb;10;2008;1007.158
Feb-18-2008;Feb;18;2008;880.592
Feb-26-2008;Feb;26;2008;974.091
Mar-5-2008;Mar;5;2008;1070.884
Mar-13-2008;Mar;13;2008;799.592
Mar-21-2008;Mar;21;2008;958.503
Mar-29-2008;Mar;29;2008;821.574
Apr-6-2008;Apr;6;2008;669.631
Apr-14-2008;Apr;14;2008;669.131
Apr-22-2008;Apr;22;2008;877.889
Apr-30-2008;Apr;30;2008;655.570
May-8-2008;May;8;2008;783.586
May-16-2008;May;16;2008;744.766
May-24-2008;May;24;2008;706.149
Jun-1-2008;Jun;1;2008;623.669
Jun-9-2008;Jun;9;2008;636.701
Jun-17-2008;Jun;17;2008;617.792
Jun-25-2008;Jun;25;2008;673.736
Jul-3-2008;Jul;3;2008;724.248
Jul-11-2008;Jul;11;2008;740.038
Jul-19-2008;Jul;19;2008;768.081
Jul-27-2008;Jul;27;2008;757.036
Aug-4-2008;Aug;4;2008;673.083
Aug-12-2008;Aug;12;2008;856.965
Aug-20-2008;Aug;20;2008;909.858
Aug-28-2008;Aug;28;2008;839.492
Sep-5-2008;Sep;5;2008;831.038
Sep-13-2008;Sep;13;2008;814.208
Sep-21-2008;Sep;21;2008;827.993
Sep-29-2008;Sep;29;2008;906.021
Oct-7-2008;Oct;7;2008;917.579
Oct-15-2008;Oct;15;2008;851.976
Oct-23-2008;Oct;23;2008;1048.219
Oct-31-2008;Oct;31;2008;927.300
Nov-8-2008;Nov;8;2008;968.989
Nov-16-2008;Nov;16;2008;1089.966
Nov-24-2008;Nov;24;2008;1074.649
Dec-2-2008;Dec;2;2008;1253.993
Dec-10-2008;Dec;10;2008;827.483
Dec-18-2008;Dec;18;2008;808.959
Dec-26-2008;Dec;26;2008;760.508
Jan-1-2009;Jan;1;2009;921.253
Jan-9-2009;Jan;9;2009;1041.101
Jan-17-2009;Jan;17;2009;761.160
Jan-25-2009;Jan;25;2009;703.980
Feb-2-2009;Feb;2;2009;909.483
Feb-10-2009;Feb;10;2009;841.190
Feb-18-2009;Feb;18;2009;1141.805
Feb-26-2009;Feb;26;2009;1237.064
Mar-6-2009;Mar;6;2009;848.777
Mar-14-2009;Mar;14;2009;763.834
Mar-22-2009;Mar;22;2009;754.655
Mar-30-2009;Mar;30;2009;837.616
Apr-7-2009;Apr;7;2009;854.165
Apr-15-2009;Apr;15;2009;818.029
Apr-23-2009;Apr;23;2009;866.088
May-1-2009;May;1;2009;787.202
May-9-2009;May;9;2009;760.803
May-17-2009;May;17;2009;780.075
May-25-2009;May;25;2009;608.181
Jun-2-2009;Jun;2;2009;692.569
Jun-10-2009;Jun;10;2009;635.106
Jun-18-2009;Jun;18;2009;705.841
Jun-26-2009;Jun;26;2009;633.291
Jul-4-2009;Jul;4;2009;670.245
Jul-12-2009;Jul;12;2009;665.588
Jul-20-2009;Jul;20;2009;578.493
Jul-28-2009;Jul;28;2009;587.827
Aug-5-2009;Aug;5;2009;783.224
Aug-13-2009;Aug;13;2009;796.120
Aug-21-2009;Aug;21;2009;614.931
Aug-29-2009;Aug;29;2009;908.390
Sep-6-2009;Sep;6;2009;833.372
Sep-14-2009;Sep;14;2009;854.772
Sep-22-2009;Sep;22;2009;813.219
Sep-30-2009;Sep;30;2009;846.726
Oct-8-2009;Oct;8;2009;738.376
Oct-16-2009;Oct;16;2009;887.118
Oct-24-2009;Oct;24;2009;1011.285
Nov-1-2009;Nov;1;2009;1081.100
Nov-9-2009;Nov;9;2009;944.668
Nov-17-2009;Nov;17;2009;1098.268
Nov-25-2009;Nov;25;2009;950.299
Dec-3-2009;Dec;3;2009;705.639
Dec-11-2009;Dec;11;2009;847.374
Dec-19-2009;Dec;19;2009;1240.224
Dec-27-2009;Dec;27;2009;420.426
Jan-1-2010;Jan;1;2010;930.741
Jan-9-2010;Jan;9;2010;888.256
Jan-17-2010;Jan;17;2010;760.610
Jan-25-2010;Jan;25;2010;905.925
Feb-2-2010;Feb;2;2010;1035.758
Feb-10-2010;Feb;10;2010;1036.540
Feb-18-2010;Feb;18;2010;869.691
Feb-26-2010;Feb;26;2010;783.194
Mar-6-2010;Mar;6;2010;990.710
Mar-14-2010;Mar;14;2010;752.699
Mar-22-2010;Mar;22;2010;946.940
Mar-30-2010;Mar;30;2010;734.367
Apr-7-2010;Apr;7;2010;820.064
Apr-15-2010;Apr;15;2010;941.191
Apr-23-2010;Apr;23;2010;727.785
May-1-2010;May;1;2010;835.744
May-9-2010;May;9;2010;684.590
May-17-2010;May;17;2010;646.770
May-25-2010;May;25;2010;635.397
Jun-2-2010;Jun;2;2010;660.202
Jun-10-2010;Jun;10;2010;674.237
Jun-18-2010;Jun;18;2010;651.345
Jun-26-2010;Jun;26;2010;760.890
Jul-4-2010;Jul;4;2010;688.150
Jul-12-2010;Jul;12;2010;556.114
Jul-20-2010;Jul;20;2010;785.729
Jul-28-2010;Jul;28;2010;739.996
Aug-5-2010;Aug;5;2010;723.122
Aug-13-2010;Aug;13;2010;727.372
Aug-21-2010;Aug;21;2010;829.780
Aug-29-2010;Aug;29;2010;876.723
Sep-6-2010;Sep;6;2010;857.677
Sep-14-2010;Sep;14;2010;801.746
Sep-22-2010;Sep;22;2010;715.899
Sep-30-2010;Sep;30;2010;825.920
Oct-8-2010;Oct;8;2010;983.556
Oct-16-2010;Oct;16;2010;981.078
Oct-24-2010;Oct;24;2010;1099.204
Nov-1-2010;Nov;1;2010;975.389
Nov-9-2010;Nov;9;2010;785.211
Nov-17-2010;Nov;17;2010;1029.736
Nov-25-2010;Nov;25;2010;972.817
Dec-3-2010;Dec;3;2010;1118.214
Dec-11-2010;Dec;11;2010;1015.710
Dec-19-2010;Dec;19;2010;922.921
Dec-27-2010;Dec;27;2010;635.848
Jan-1-2011;Jan;1;2011;660.607
Jan-9-2011;Jan;9;2011;879.211
Jan-17-2011;Jan;17;2011;1091.172
Jan-25-2011;Jan;25;2011;1259.550
Feb-2-2011;Feb;2;2011;1147.458
Feb-10-2011;Feb;10;2011;1041.943
Feb-18-2011;Feb;18;2011;1075.449
Feb-26-2011;Feb;26;2011;760.584
Mar-6-2011;Mar;6;2011;670.366
Mar-14-2011;Mar;14;2011;1045.328
Mar-22-2011;Mar;22;2011;902.492
Mar-30-2011;Mar;30;2011;838.487
Apr-7-2011;Apr;7;2011;811.751
Apr-15-2011;Apr;15;2011;992.314
Apr-23-2011;Apr;23;2011;737.745
May-1-2011;May;1;2011;858.607
May-9-2011;May;9;2011;772.488
May-17-2011;May;17;2011;754.153
May-25-2011;May;25;2011;706.599
Jun-2-2011;Jun;2;2011;657.833
Jun-10-2011;Jun;10;2011;648.498
Jun-18-2011;Jun;18;2011;711.812
Jun-26-2011;Jun;26;2011;695.557
Jul-4-2011;Jul;4;2011;582.056
Jul-12-2011;Jul;12;2011;768.373
Jul-20-2011;Jul;20;2011;698.398
Jul-28-2011;Jul;28;2011;673.197
Aug-5-2011;Aug;5;2011;790.648
Aug-13-2011;Aug;13;2011;763.507
Aug-21-2011;Aug;21;2011;741.989
Aug-29-2011;Aug;29;2011;883.609
Sep-6-2011;Sep;6;2011;892.640
Sep-14-2011;Sep;14;2011;945.980
Sep-22-2011;Sep;22;2011;916.944
Sep-30-2011;Sep;30;2011;1016.043
Oct-8-2011;Oct;8;2011;899.597
Oct-15-2011;Oct;15;2011;842.454
Oct-24-2011;Oct;24;2011;1080.754
Nov-1-2011;Nov;1;2011;1216.708
Nov-9-2011;Nov;9;2011;1044.030
Nov-17-2011;Nov;17;2011;995.930
Nov-25-2011;Nov;25;2011;776.547
Dec-3-2011;Dec;3;2011;891.405
Dec-11-2011;Dec;11;2011;935.802
Dec-19-2011;Dec;19;2011;1108.038
Dec-27-2011;Dec;27;2011;728.784
Jan-1-2012;Jan;1;2012;910.264
Jan-9-2012;Jan;9;2012;977.615
Jan-17-2012;Jan;17;2012;1163.698
Jan-25-2012;Jan;25;2012;1033.681
Feb-2-2012;Feb;2;2012;1392.309
Feb-10-2012;Feb;10;2012;1108.573
Feb-18-2012;Feb;18;2012;962.997
Feb-26-2012;Feb;26;2012;1122.782
Mar-5-2012;Mar;5;2012;1068.113
Mar-13-2012;Mar;13;2012;943.427
Mar-21-2012;Mar;21;2012;915.611
Mar-29-2012;Mar;29;2012;865.660
Apr-6-2012;Apr;6;2012;827.690
Apr-14-2012;Apr;14;2012;907.651
Apr-22-2012;Apr;22;2012;756.993
Apr-30-2012;Apr;30;2012;731.359
May-8-2012;May;8;2012;605.069
May-16-2012;May;16;2012;719.553
May-24-2012;May;24;2012;761.235
Jun-1-2012;Jun;1;2012;544.092
Jun-9-2012;Jun;9;2012;684.209
Jun-17-2012;Jun;17;2012;606.953
Jun-25-2012;Jun;25;2012;723.269
Jul-3-2012;Jul;3;2012;709.197
Jul-11-2012;Jul;11;2012;579.193
Jul-19-2012;Jul;19;2012;780.546
Jul-27-2012;Jul;27;2012;758.719
Aug-4-2012;Aug;4;2012;835.329
Aug-12-2012;Aug;12;2012;891.965
Aug-20-2012;Aug;20;2012;973.321
Aug-28-2012;Aug;28;2012;954.190
Sep-5-2012;Sep;5;2012;929.915
Sep-13-2012;Sep;13;2012;879.991
Sep-21-2012;Sep;21;2012;778.023
Sep-29-2012;Sep;29;2012;1141.649
Oct-7-2012;Oct;7;2012;1066.969
Oct-15-2012;Oct;15;2012;947.334
Oct-23-2012;Oct;23;2012;879.103
Oct-31-2012;Oct;31;2012;932.435
Nov-8-2012;Nov;8;2012;777.683
Nov-16-2012;Nov;16;2012;1183.592
Nov-24-2012;Nov;24;2012;1032.142
Dec-2-2012;Dec;2;2012;1211.658
Dec-10-2012;Dec;10;2012;890.368
Dec-18-2012;Dec;18;2012;1192.120
Dec-26-2012;Dec;26;2012;774.875
Jan-1-2013;Jan;1;2013;905.843
Jan-9-2013;Jan;9;2013;633.478
Jan-17-2013;Jan;17;2013;1106.363
Jan-25-2013;Jan;25;2013;896.811
Feb-2-2013;Feb;2;2013;762.768
Feb-10-2013;Feb;10;2013;889.715
Feb-18-2013;Feb;18;2013;1151.182
Feb-26-2013;Feb;26;2013;793.139
Mar-6-2013;Mar;6;2013;766.556
Mar-14-2013;Mar;14;2013;688.461
Mar-22-2013;Mar;22;2013;750.566
Mar-30-2013;Mar;30;2013;803.630
Apr-7-2013;Apr;7;2013;691.326
Apr-15-2013;Apr;15;2013;892.666
Apr-23-2013;Apr;23;2013;870.567
May-1-2013;May;1;2013;807.645
May-9-2013;May;9;2013;806.972
May-17-2013;May;17;2013;628.325
May-25-2013;May;25;2013;573.975
Jun-2-2013;Jun;2;2013;687.304
Jun-10-2013;Jun;10;2013;660.680
Jun-18-2013;Jun;18;2013;645.951
Jun-26-2013;Jun;26;2013;614.715
Jul-4-2013;Jul;4;2013;713.302
Jul-12-2013;Jul;12;2013;737.021
Jul-20-2013;Jul;20;2013;527.777
Jul-28-2013;Jul;28;2013;776.343
Aug-5-2013;Aug;5;2013;767.742
Aug-13-2013;Aug;13;2013;724.261
Aug-21-2013;Aug;21;2013;839.062
Aug-29-2013;Aug;29;2013;814.468
Sep-6-2013;Sep;6;2013;1035.411
Sep-14-2013;Sep;14;2013;860.230
Sep-22-2013;Sep;22;2013;890.338
Sep-30-2013;Sep;30;2013;799.968
Oct-8-2013;Oct;8;2013;1068.781
Oct-16-2013;Oct;16;2013;980.012
Oct-24-2013;Oct;24;2013;1016.764
Nov-1-2013;Nov;1;2013;880.566
Nov-9-2013;Nov;9;2013;1132.889
Nov-17-2013;Nov;17;2013;963.543
Nov-25-2013;Nov;25;2013;870.420
Dec-3-2013;Dec;3;2013;1178.310
Dec-11-2013;Dec;11;2013;1026.508
Dec-19-2013;Dec;19;2013;911.755
Dec-27-2013;Dec;27;2013;558.908
Jan-1-2014;Jan;1;2014;1245.329
Jan-9-2014;Jan;9;2014;1220.098
Jan-17-2014;Jan;17;2014;1144.136
Jan-25-2014;Jan;25;2014;1212.622
Feb-2-2014;Feb;2;2014;1194.878
Feb-10-2014;Feb;10;2014;971.402
Feb-18-2014;Feb;18;2014;1088.651
Feb-26-2014;Feb;26;2014;923.434
Mar-6-2014;Mar;6;2014;824.035
Mar-14-2014;Mar;14;2014;983.707
Mar-22-2014;Mar;22;2014;945.363
Mar-30-2014;Mar;30;2014;889.948
Apr-7-2014;Apr;7;2014;820.760
Apr-15-2014;Apr;15;2014;729.248
Apr-23-2014;Apr;23;2014;790.855
May-1-2014;May;1;2014;819.236
May-9-2014;May;9;2014;779.408
May-17-2014;May;17;2014;648.103
May-25-2014;May;25;2014;601.080
Jun-2-2014;Jun;2;2014;653.169
Jun-10-2014;Jun;10;2014;682.836
Jun-18-2014;Jun;18;2014;629.656
Jun-26-2014;Jun;26;2014;672.959
Jul-4-2014;Jul;4;2014;628.992
Jul-12-2014;Jul;12;2014;711.454
Jul-20-2014;Jul;20;2014;595.046
Jul-28-2014;Jul;28;2014;737.396
Aug-5-2014;Aug;5;2014;795.881
Aug-13-2014;Aug;13;2014;713.416
Aug-21-2014;Aug;21;2014;808.008
Aug-29-2014;Aug;29;2014;849.248
Sep-6-2014;Sep;6;2014;1013.207
Sep-14-2014;Sep;14;2014;842.977
Sep-22-2014;Sep;22;2014;944.368
Sep-30-2014;Sep;30;2014;995.082
Oct-8-2014;Oct;8;2014;1044.900
Oct-16-2014;Oct;16;2014;1046.833
Oct-24-2014;Oct;24;2014;1038.854
Nov-1-2014;Nov;1;2014;1038.143
Nov-9-2014;Nov;9;2014;960.834
Nov-17-2014;Nov;17;2014;1085.131
Nov-25-2014;Nov;25;2014;1062.163
Dec-3-2014;Dec;3;2014;1246.135
Dec-11-2014;Dec;11;2014;1085.494
Dec-19-2014;Dec;19;2014;923.896
Dec-27-2014;Dec;27;2014;571.688
Jan-1-2015;Jan;1;2015;919.920
Jan-9-2015;Jan;9;2015;954.166
Jan-17-2015;Jan;17;2015;841.492
Jan-25-2015;Jan;25;2015;701.854
Feb-2-2015;Feb;2;2015;627.924
Feb-10-2015;Feb;10;2015;844.803
Feb-18-2015;Feb;18;2015;998.746
Feb-26-2015;Feb;26;2015;957.585
Mar-6-2015;Mar;6;2015;560.855
Mar-14-2015;Mar;14;2015;668.601
Mar-22-2015;Mar;22;2015;892.382
Mar-30-2015;Mar;30;2015;874.689
Apr-7-2015;Apr;7;2015;907.322
Apr-15-2015;Apr;15;2015;736.334
Apr-23-2015;Apr;23;2015;822.520
May-1-2015;May;1;2015;700.951
May-9-2015;May;9;2015;675.494
May-17-2015;May;17;2015;621.321
May-25-2015;May;25;2015;597.645
Jun-2-2015;Jun;2;2015;689.616
Jun-10-2015;Jun;10;2015;582.469
Jun-18-2015;Jun;18;2015;531.724
Jun-26-2015;Jun;26;2015;640.893
Jul-4-2015;Jul;4;2015;497.045
Jul-12-2015;Jul;12;2015;635.015
Jul-20-2015;Jul;20;2015;590.298
Jul-28-2015;Jul;28;2015;767.076
Aug-5-2015;Aug;5;2015;826.979
Aug-13-2015;Aug;13;2015;838.790
Aug-21-2015;Aug;21;2015;729.879
Aug-29-2015;Aug;29;2015;761.697
Sep-6-2015;Sep;6;2015;552.011
Sep-14-2015;Sep;14;2015;914.794
Sep-22-2015;Sep;22;2015;789.669
Sep-30-2015;Sep;30;2015;887.962
Oct-8-2015;Oct;8;2015;963.719
Oct-16-2015;Oct;16;2015;870.624
Oct-24-2015;Oct;24;2015;873.949
Nov-1-2015;Nov;1;2015;785.660
Nov-9-2015;Nov;9;2015;977.832
Nov-17-2015;Nov;17;2015;906.499
Nov-25-2015;Nov;25;2015;1021.588
Dec-3-2015;Dec;3;2015;911.290
Dec-11-2015;Dec;11;2015;1071.077
Dec-19-2015;Dec;19;2015;1216.530
Dec-27-2015;Dec;27;2015;523.189
Jan-1-2016;Jan;1;2016;1063.152
Jan-9-2016;Jan;9;2016;776.104
Jan-17-2016;Jan;17;2016;1007.490
Jan-25-2016;Jan;25;2016;1130.983
Feb-2-2016;Feb;2;2016;1172.594
Feb-10-2016;Feb;10;2016;997.439
Feb-18-2016;Feb;18;2016;764.640
Feb-26-2016;Feb;26;2016;642.206
Mar-5-2016;Mar;5;2016;836.236
Mar-13-2016;Mar;13;2016;970.865
Mar-21-2016;Mar;21;2016;825.528
Mar-29-2016;Mar;29;2016;877.213
Apr-6-2016;Apr;6;2016;1036.141
Apr-14-2016;Apr;14;2016;928.631
Apr-22-2016;Apr;22;2016;638.440
Apr-30-2016;Apr;30;2016;826.177
May-8-2016;May;8;2016;663.199
May-16-2016;May;16;2016;531.274
May-24-2016;May;24;2016;627.737
Jun-1-2016;Jun;1;2016;423.618
Jun-9-2016;Jun;9;2016;667.921
Jun-17-2016;Jun;17;2016;632.090
Jun-25-2016;Jun;25;2016;646.266
Jul-3-2016;Jul;3;2016;728.537
Jul-11-2016;Jul;11;2016;645.535
Jul-19-2016;Jul;19;2016;657.835
Jul-27-2016;Jul;27;2016;665.423
Aug-4-2016;Aug;4;2016;664.575
Aug-12-2016;Aug;12;2016;767.407
Aug-20-2016;Aug;20;2016;801.883
Aug-28-2016;Aug;28;2016;820.295
Sep-5-2016;Sep;5;2016;855.217
Sep-13-2016;Sep;13;2016;711.302
Sep-21-2016;Sep;21;2016;959.027
Sep-29-2016;Sep;29;2016;625.346
Oct-7-2016;Oct;7;2016;985.945
Oct-15-2016;Oct;15;2016;980.635
Oct-23-2016;Oct;23;2016;899.156
Oct-31-2016;Oct;31;2016;872.458
Nov-8-2016;Nov;8;2016;884.685
Nov-16-2016;Nov;16;2016;1061.311
Nov-24-2016;Nov;24;2016;1138.712
Dec-2-2016;Dec;2;2016;1063.903
Dec-10-2016;Dec;10;2016;829.026
Dec-18-2016;Dec;18;2016;999.966
Dec-26-2016;Dec;26;2016;920.393
Jan-1-2017;Jan;1;2017;948.472
Jan-9-2017;Jan;9;2017;1052.836
Jan-17-2017;Jan;17;2017;986.905
Jan-25-2017;Jan;25;2017;1099.862
Feb-2-2017;Feb;2;2017;899.451
Feb-10-2017;Feb;10;2017;1304.338
Feb-18-2017;Feb;18;2017;993.031
Feb-26-2017;Feb;26;2017;728.170
Mar-6-2017;Mar;6;2017;881.310
Mar-14-2017;Mar;14;2017;785.499
Mar-22-2017;Mar;22;2017;1033.899
Mar-30-2017;Mar;30;2017;1029.634
Apr-7-2017;Apr;7;2017;815.359
Apr-15-2017;Apr;15;2017;848.310
Apr-23-2017;Apr;23;2017;718.111
May-1-2017;May;1;2017;773.879
May-9-2017;May;9;2017;791.059
May-17-2017;May;17;2017;491.972
May-25-2017;May;25;2017;737.412
Jun-2-2017;Jun;2;2017;673.620
Jun-10-2017;Jun;10;2017;636.649
Jun-18-2017;Jun;18;2017;668.904
Jun-26-2017;Jun;26;2017;686.091
Jul-4-2017;Jul;4;2017;667.037
Jul-12-2017;Jul;12;2017;716.572
Jul-20-2017;Jul;20;2017;802.748
Jul-28-2017;Jul;28;2017;811.627
Aug-5-2017;Aug;5;2017;772.589
Aug-13-2017;Aug;13;2017;632.184
Aug-21-2017;Aug;21;2017;833.609
Aug-29-2017;Aug;29;2017;955.136
Sep-6-2017;Sep;6;2017;1054.050
Sep-14-2017;Sep;14;2017;1079.474
Sep-22-2017;Sep;22;2017;955.159
Sep-30-2017;Sep;30;2017;821.544
Oct-8-2017;Oct;8;2017;1001.198
Oct-16-2017;Oct;16;2017;894.485
Oct-24-2017;Oct;24;2017;803.379
Nov-1-2017;Nov;1;2017;892.596
Nov-9-2017;Nov;9;2017;1109.268
Nov-17-2017;Nov;17;2017;1000.163
